iter	Passed	Remaining
209	9965	13762
210	10007	13707
211	10054	13659
212	10100	13609
213	10149	13564
214	10190	13508
215	10228	13448
216	10267	13389
217	10301	13325
218	10342	13271
219	10382	13214
220	10429	13166
221	10467	13107
222	10504	13048
223	10540	12986
224	10585	12937
225	10628	12886
226	10672	12835
227	10718	12786
228	10762	12735
229	10802	12681
230	10836	12619
231	10870	12557
232	10905	12497
233	10944	12441
234	10989	12392
235	11027	12336
236	11067	12281
237	11100	12220
238	11135	12160
239	11171	12102
240	11213	12050
241	11255	11999
242	11292	11942
243	11347	11905
244	11390	11854
245	11436	11808
246	11475	11754
247	11515	11700
248	11550	11643
249	11584	11584
250	11619	11526
251	11651	11466
252	11686	11409
253	11723	11354
254	11761	11300
255	11797	11244
256	11837	11192
257	11901	11163
258	11951	11120
259	12002	11079
260	12040	11025
261	12087	10980
262	12135	10935
263	12175	10884
264	12219	10836
265	12262	10787
266	12331	10761
267	12386	10722
268	12430	10674
269	12468	10621
270	12507	10569
271	12543	10514
272	12577	10458
273	12612	10402
274	12647	10347
275	12686	10296
276	12730	10248
277	12791	10214
278	12918	10232
279	12977	10196
280	13034	10158
281	13088	10118
282	13134	10071
283	13189	10031
284	13255	9999
285	13309	9958
286	13369	9921
287	13457	9905
288	13517	9868
289	13564	9822
290	13592	9762
291	13629	9708
292	13671	9658
293	13744	9630
294	13796	9587
295	13843	9540
296	13895	9497
297	13945	9452
298	13993	9406
299	14049	9366
300	14094	9318
301	14149	9277
302	14195	9229
303	14239	9180
304	14288	9135
305	14346	9095
306	14386	9044
307	14443	9003
308	14524	8978
309	14609	8954
310	14660	8909
311	14745	8885
312	14818	8853
313	14861	8803
314	14923	8764
315	14969	8716
316	15013	8667
317	15057	8617
318	15124	8581
319	15170	8533
320	15267	8513
321	15322	8470
322	15378	8427
323	15422	8377
324	15457	8323
325	15493	8269
326	15540	8221
327	15581	8170
328	15618	8118
329	15653	8064
330	15691	8011
331	15729	7959
332	15779	7913
333	15823	7864
334	15865	7814
335	15908	7764
336	15949	7714
337	15988	7663
338	16031	7613
339	16070	7562
340	16109	7511
341	16152	7462
342	16196	7413
343	16236	7363
344	16273	7311
345	16309	7259
346	16361	7214
347	16430	7176
348	16486	7133
349	16526	7082
350	16563	7031
351	16598	6978
352	16633	6926
353	16668	6874
354	16711	6825
355	16748	6774
356	16784	6723
357	16819	6671
358	16856	6620
359	16892	6569
360	16938	6521
361	16984	6474
362	17041	6431
363	17083	6382
364	17118	6331
365	17155	6281
366	17189	6229
367	17224	6178
368	17258	6127
369	17299	6078
370	17347	6031
371	17389	5983
372	17426	5933
373	17467	5884
374	17508	5836
375	17554	5789
376	17597	5741
377	17643	5694
378	17688	5647
379	17736	5601
380	17784	5554
381	17830	5507
382	17871	5459
383	17916	5412
384	17958	5364
385	18002	5316
386	18043	5268
387	18081	5219
388	18124	5171
389	18164	5123
390	18213	5077
391	18291	5039
392	18344	4994
393	18392	4948
394	18445	4903
395	18507	4860
396	18552	4813
397	18597	4766
398	18641	4718
399	18684	4671
400	18726	4623
